sequence_number,rtt_ms,bytes_received,status
494,223.660,32,SUCCESS
495,232.399,32,SUCCESS
496,228.998,32,SUCCESS
497,230.990,32,SUCCESS
498,266.533,32,SUCCESS
499,,0,LOST
500,215.025,32,SUCCESS
501,245.910,32,SUCCESS
502,124.849,32,SUCCESS
503,36.439,32,SUCCESS
504,35.502,32,SUCCESS
505,34.719,32,SUCCESS
506,34.521,32,SUCCESS
507,35.365,32,SUCCESS
508,113.593,32,SUCCESS
509,,0,LOST
510,265.380,32,SUCCESS
511,220.922,32,SUCCESS
512,251.902,32,SUCCESS
513,204.978,32,SUCCESS
514,211.602,32,SUCCESS
515,229.277,32,SUCCESS
516,231.475,32,SUCCESS
517,230.628,32,SUCCESS
518,232.027,32,SUCCESS
519,240.976,32,SUCCESS
520,256.234,32,SUCCESS
521,203.183,32,SUCCESS
522,240.503,32,SUCCESS
523,262.773,32,SUCCESS
524,36.089,32,SUCCESS
525,54.209,32,SUCCESS
526,,0,LOST
527,178.742,32,SUCCESS
528,204.809,32,SUCCESS
529,221.346,32,SUCCESS
530,228.089,32,SUCCESS
531,,0,LOST
532,34.531,32,SUCCESS
533,147.895,32,SUCCESS
534,205.228,32,SUCCESS
535,261.500,32,SUCCESS
536,218.100,32,SUCCESS
537,250.499,32,SUCCESS
538,261.429,32,SUCCESS
539,210.838,32,SUCCESS
540,,0,LOST
541,139.874,32,SUCCESS
542,196.202,32,SUCCESS
543,258.376,32,SUCCESS
544,,0,LOST
545,262.802,32,SUCCESS
546,193.766,32,SUCCESS
547,218.287,32,SUCCESS
548,228.590,32,SUCCESS
549,,0,LOST
550,234.858,32,SUCCESS
551,240.493,32,SUCCESS
552,256.379,32,SUCCESS
553,198.750,32,SUCCESS
554,110.166,32,SUCCESS
555,128.785,32,SUCCESS
556,183.393,32,SUCCESS
557,241.240,32,SUCCESS
558,203.774,32,SUCCESS
559,237.685,32,SUCCESS
560,263.044,32,SUCCESS
561,202.018,32,SUCCESS
562,218.902,32,SUCCESS
563,143.574,32,SUCCESS
564,200.630,32,SUCCESS
565,262.677,32,SUCCESS
566,116.857,32,SUCCESS
567,169.908,32,SUCCESS
568,230.411,32,SUCCESS
569,199.421,32,SUCCESS
570,234.531,32,SUCCESS
571,261.047,32,SUCCESS
572,198.296,32,SUCCESS
573,218.885,32,SUCCESS
574,229.470,32,SUCCESS
575,232.736,32,SUCCESS
576,230.481,32,SUCCESS
577,234.406,32,SUCCESS
578,246.016,32,SUCCESS
579,263.735,32,SUCCESS
580,218.196,32,SUCCESS
581,,0,LOST
582,206.913,32,SUCCESS
583,266.674,32,SUCCESS
584,218.997,32,SUCCESS
585,250.062,32,SUCCESS
586,233.145,32,SUCCESS
587,212.229,32,SUCCESS
588,228.020,32,SUCCESS
589,231.319,32,SUCCESS
