sequence_number,rtt_ms,bytes_received,status
357,0.222,1400,SUCCESS
358,0.175,28,SUCCESS
359,0.210,1400,SUCCESS
360,0.189,28,SUCCESS
361,0.214,1400,SUCCESS
362,0.168,28,SUCCESS
363,0.214,1400,SUCCESS
364,0.165,28,SUCCESS
365,0.206,1400,SUCCESS
366,0.156,28,SUCCESS
367,0.208,1400,SUCCESS
368,0.162,28,SUCCESS
369,0.210,1400,SUCCESS
370,0.231,28,SUCCESS
371,0.248,1400,SUCCESS
372,0.164,28,SUCCESS
373,0.216,1400,SUCCESS
374,0.180,28,SUCCESS
375,0.217,1400,SUCCESS
376,0.228,28,SUCCESS
377,0.251,1400,SUCCESS
378,0.179,28,SUCCESS
379,0.213,1400,SUCCESS
380,0.171,28,SUCCESS
381,0.215,1400,SUCCESS
382,0.206,28,SUCCESS
383,0.218,1400,SUCCESS
384,0.190,28,SUCCESS
385,0.209,1400,SUCCESS
386,0.166,28,SUCCESS
387,0.209,1400,SUCCESS
388,0.183,28,SUCCESS
389,0.206,1400,SUCCESS
390,0.148,28,SUCCESS
391,0.202,1400,SUCCESS
392,0.168,28,SUCCESS
393,0.209,1400,SUCCESS
394,0.151,28,SUCCESS
395,0.204,1400,SUCCESS
396,0.172,28,SUCCESS
397,0.203,1400,SUCCESS
398,0.154,28,SUCCESS
399,0.213,1400,SUCCESS
400,0.196,28,SUCCESS
401,0.219,1400,SUCCESS
402,0.162,28,SUCCESS
403,0.217,1400,SUCCESS
404,0.160,28,SUCCESS
405,0.216,1400,SUCCESS
406,0.209,28,SUCCESS
407,0.243,1400,SUCCESS
408,0.173,28,SUCCESS
409,0.223,1400,SUCCESS
410,0.178,28,SUCCESS
411,0.209,1400,SUCCESS
412,0.150,28,SUCCESS
413,0.214,1400,SUCCESS
414,0.187,28,SUCCESS
415,0.218,1400,SUCCESS
416,0.168,28,SUCCESS
417,0.204,1400,SUCCESS
418,0.168,28,SUCCESS
419,0.204,1400,SUCCESS
420,0.149,28,SUCCESS
421,0.216,1400,SUCCESS
422,0.166,28,SUCCESS
423,0.215,1400,SUCCESS
424,0.149,28,SUCCESS
425,0.212,1400,SUCCESS
426,0.156,28,SUCCESS
427,0.212,1400,SUCCESS
428,0.178,28,SUCCESS
429,0.218,1400,SUCCESS
430,0.170,28,SUCCESS
431,0.209,1400,SUCCESS
432,0.163,28,SUCCESS
433,0.258,1400,SUCCESS
434,0.201,28,SUCCESS
435,0.210,1400,SUCCESS
436,0.166,28,SUCCESS
437,0.329,1400,SUCCESS
438,0.331,28,SUCCESS
439,0.267,1400,SUCCESS
440,0.168,28,SUCCESS
441,0.307,1400,SUCCESS
442,0.210,28,SUCCESS
443,0.305,1400,SUCCESS
444,0.274,28,SUCCESS
445,0.273,1400,SUCCESS
446,0.200,28,SUCCESS
447,0.224,1400,SUCCESS
448,0.173,28,SUCCESS
449,0.215,1400,SUCCESS
450,0.175,28,SUCCESS
451,0.214,1400,SUCCESS
452,0.170,28,SUCCESS
453,0.212,1400,SUCCESS
454,0.175,28,SUCCESS
455,0.212,1400,SUCCESS
456,0.278,28,SUCCESS
457,0.247,1400,SUCCESS
458,0.249,28,SUCCESS
459,0.308,1400,SUCCESS
460,0.262,28,SUCCESS
461,0.327,1400,SUCCESS
462,0.204,28,SUCCESS
463,0.233,1400,SUCCESS
464,0.184,28,SUCCESS
465,0.234,1400,SUCCESS
466,0.181,28,SUCCESS
467,0.222,1400,SUCCESS
468,0.193,28,SUCCESS
469,0.214,1400,SUCCESS
470,0.177,28,SUCCESS
471,0.225,1400,SUCCESS
472,0.194,28,SUCCESS
473,0.254,1400,SUCCESS
474,0.175,28,SUCCESS
475,0.216,1400,SUCCESS
476,0.179,28,SUCCESS
477,0.226,1400,SUCCESS
478,0.172,28,SUCCESS
479,0.216,1400,SUCCESS
480,0.172,28,SUCCESS
481,0.213,1400,SUCCESS
482,0.174,28,SUCCESS
483,0.215,1400,SUCCESS
484,0.172,28,SUCCESS
485,0.221,1400,SUCCESS
486,0.172,28,SUCCESS
487,0.219,1400,SUCCESS
488,0.170,28,SUCCESS
489,0.223,1400,SUCCESS
490,0.179,28,SUCCESS
491,0.234,1400,SUCCESS
492,0.224,28,SUCCESS
493,0.253,1400,SUCCESS
494,0.180,28,SUCCESS
495,0.229,1400,SUCCESS
496,0.179,28,SUCCESS
497,0.237,1400,SUCCESS
498,0.177,28,SUCCESS
499,0.219,1400,SUCCESS
500,0.172,28,SUCCESS
501,0.219,1400,SUCCESS
502,0.164,28,SUCCESS
503,0.231,1400,SUCCESS
504,0.180,28,SUCCESS
505,0.228,1400,SUCCESS
506,0.166,28,SUCCESS
507,0.221,1400,SUCCESS
508,0.171,28,SUCCESS
509,0.219,1400,SUCCESS
510,0.169,28,SUCCESS
511,0.220,1400,SUCCESS
512,0.175,28,SUCCESS
513,0.223,1400,SUCCESS
514,0.174,28,SUCCESS
515,0.231,1400,SUCCESS
516,0.175,28,SUCCESS
517,0.237,1400,SUCCESS
518,0.205,28,SUCCESS
519,0.262,1400,SUCCESS
520,0.186,28,SUCCESS
521,0.235,1400,SUCCESS
522,0.184,28,SUCCESS
523,0.228,1400,SUCCESS
524,0.173,28,SUCCESS
525,0.222,1400,SUCCESS
526,0.163,28,SUCCESS
527,0.227,1400,SUCCESS
528,0.175,28,SUCCESS
529,0.222,1400,SUCCESS
530,0.183,28,SUCCESS
531,0.228,1400,SUCCESS
532,0.180,28,SUCCESS
533,0.241,1400,SUCCESS
534,0.176,28,SUCCESS
535,0.221,1400,SUCCESS
536,0.172,28,SUCCESS
537,0.220,1400,SUCCESS
538,0.171,28,SUCCESS
539,0.224,1400,SUCCESS
540,0.174,28,SUCCESS
541,0.227,1400,SUCCESS
542,0.174,28,SUCCESS
543,0.297,1400,SUCCESS
544,0.317,28,SUCCESS
545,0.263,1400,SUCCESS
546,0.204,28,SUCCESS
547,0.234,1400,SUCCESS
548,0.198,28,SUCCESS
549,0.220,1400,SUCCESS
550,0.155,28,SUCCESS
551,0.214,1400,SUCCESS
552,0.163,28,SUCCESS
553,0.240,1400,SUCCESS
554,0.175,28,SUCCESS
555,0.219,1400,SUCCESS
556,0.157,28,SUCCESS
557,0.209,1400,SUCCESS
558,0.153,28,SUCCESS
559,0.215,1400,SUCCESS
560,0.163,28,SUCCESS
561,0.208,1400,SUCCESS
562,0.171,28,SUCCESS
563,0.263,1400,SUCCESS
564,0.197,28,SUCCESS
565,0.229,1400,SUCCESS
566,0.176,28,SUCCESS
567,0.234,1400,SUCCESS
568,0.265,28,SUCCESS
569,0.219,1400,SUCCESS
570,0.236,28,SUCCESS
571,0.331,1400,SUCCESS
572,0.268,28,SUCCESS
573,0.325,1400,SUCCESS
574,0.257,28,SUCCESS
575,0.276,1400,SUCCESS
576,0.281,28,SUCCESS
577,0.310,1400,SUCCESS
578,0.181,28,SUCCESS
579,0.315,1400,SUCCESS
580,0.255,28,SUCCESS
581,0.325,1400,SUCCESS
582,0.174,28,SUCCESS
583,0.213,1400,SUCCESS
584,0.158,28,SUCCESS
585,0.223,1400,SUCCESS
586,0.159,28,SUCCESS
587,0.213,1400,SUCCESS
588,0.165,28,SUCCESS
589,0.220,1400,SUCCESS
590,0.195,28,SUCCESS
591,0.209,1400,SUCCESS
592,0.165,28,SUCCESS
593,0.215,1400,SUCCESS
594,0.168,28,SUCCESS
595,0.257,1400,SUCCESS
596,0.182,28,SUCCESS
597,0.221,1400,SUCCESS
598,0.172,28,SUCCESS
599,0.218,1400,SUCCESS
600,0.160,28,SUCCESS
601,0.213,1400,SUCCESS
602,0.169,28,SUCCESS
603,0.267,1400,SUCCESS
604,0.190,28,SUCCESS
605,0.227,1400,SUCCESS
606,0.170,28,SUCCESS
607,0.221,1400,SUCCESS
608,0.200,28,SUCCESS
609,0.222,1400,SUCCESS
610,0.155,28,SUCCESS
611,0.211,1400,SUCCESS
612,0.154,28,SUCCESS
613,0.204,1400,SUCCESS
614,0.150,28,SUCCESS
615,0.214,1400,SUCCESS
616,0.149,28,SUCCESS
617,0.234,1400,SUCCESS
618,0.200,28,SUCCESS
619,0.311,1400,SUCCESS
620,0.178,28,SUCCESS
621,0.255,1400,SUCCESS
622,0.174,28,SUCCESS
623,0.218,1400,SUCCESS
624,0.169,28,SUCCESS
625,0.214,1400,SUCCESS
626,0.161,28,SUCCESS
627,0.214,1400,SUCCESS
628,0.166,28,SUCCESS
629,0.213,1400,SUCCESS
630,0.166,28,SUCCESS
631,0.231,1400,SUCCESS
632,0.162,28,SUCCESS
633,0.213,1400,SUCCESS
634,0.169,28,SUCCESS
635,0.313,1400,SUCCESS
636,0.274,28,SUCCESS
637,0.258,1400,SUCCESS
638,0.184,28,SUCCESS
639,0.269,1400,SUCCESS
640,0.205,28,SUCCESS
641,0.234,1400,SUCCESS
642,0.166,28,SUCCESS
643,0.213,1400,SUCCESS
644,0.171,28,SUCCESS
645,0.221,1400,SUCCESS
646,0.173,28,SUCCESS
647,0.220,1400,SUCCESS
648,0.161,28,SUCCESS
649,0.212,1400,SUCCESS
650,0.156,28,SUCCESS
651,0.423,1400,SUCCESS
652,0.188,28,SUCCESS
653,0.214,1400,SUCCESS
654,0.168,28,SUCCESS
655,0.203,1400,SUCCESS
656,0.146,28,SUCCESS
657,0.204,1400,SUCCESS
658,0.147,28,SUCCESS
659,0.214,1400,SUCCESS
660,0.161,28,SUCCESS
661,0.216,1400,SUCCESS
662,0.167,28,SUCCESS
663,0.316,1400,SUCCESS
664,0.208,28,SUCCESS
665,0.223,1400,SUCCESS
666,0.186,28,SUCCESS
667,0.224,1400,SUCCESS
668,0.163,28,SUCCESS
669,0.218,1400,SUCCESS
670,0.164,28,SUCCESS
671,0.211,1400,SUCCESS
672,0.157,28,SUCCESS
673,0.211,1400,SUCCESS
674,0.175,28,SUCCESS
675,0.223,1400,SUCCESS
676,0.157,28,SUCCESS
677,0.206,1400,SUCCESS
678,0.149,28,SUCCESS
679,0.202,1400,SUCCESS
680,0.153,28,SUCCESS
681,0.203,1400,SUCCESS
682,0.147,28,SUCCESS
683,0.203,1400,SUCCESS
684,0.147,28,SUCCESS
685,0.204,1400,SUCCESS
686,0.149,28,SUCCESS
687,0.214,1400,SUCCESS
688,0.165,28,SUCCESS
689,0.218,1400,SUCCESS
690,0.171,28,SUCCESS
691,0.228,1400,SUCCESS
692,0.202,28,SUCCESS
693,0.222,1400,SUCCESS
694,0.164,28,SUCCESS
695,0.210,1400,SUCCESS
696,0.163,28,SUCCESS
697,0.208,1400,SUCCESS
698,0.148,28,SUCCESS
699,0.209,1400,SUCCESS
700,0.147,28,SUCCESS
701,0.236,1400,SUCCESS
702,0.149,28,SUCCESS
703,0.203,1400,SUCCESS
704,0.164,28,SUCCESS
705,0.205,1400,SUCCESS
706,0.148,28,SUCCESS
707,0.202,1400,SUCCESS
708,0.160,28,SUCCESS
709,0.213,1400,SUCCESS
710,0.181,28,SUCCESS
711,0.248,1400,SUCCESS
712,0.203,28,SUCCESS
