sequence_number,rtt_ms,bytes_received,status
357,32.046,1400,SUCCESS
358,34.153,28,SUCCESS
359,32.905,1400,SUCCESS
360,31.063,28,SUCCESS
361,,0,LOST
362,30.805,28,SUCCESS
363,31.684,1400,SUCCESS
364,30.959,28,SUCCESS
365,33.057,1400,SUCCESS
366,31.345,28,SUCCESS
367,32.043,1400,SUCCESS
368,32.100,28,SUCCESS
369,32.633,1400,SUCCESS
370,32.487,28,SUCCESS
371,33.400,1400,SUCCESS
372,32.313,28,SUCCESS
373,34.323,1400,SUCCESS
374,43.209,28,SUCCESS
375,31.861,1400,SUCCESS
376,31.257,28,SUCCESS
377,,0,LOST
378,33.093,28,SUCCESS
379,,0,LOST
380,32.528,28,SUCCESS
381,33.465,1400,SUCCESS
382,31.337,28,SUCCESS
383,31.758,1400,SUCCESS
384,32.194,28,SUCCESS
385,31.842,1400,SUCCESS
386,30.436,28,SUCCESS
387,32.312,1400,SUCCESS
388,31.364,28,SUCCESS
389,32.548,1400,SUCCESS
390,32.422,28,SUCCESS
391,33.629,1400,SUCCESS
392,31.120,28,SUCCESS
393,31.371,1400,SUCCESS
394,31.312,28,SUCCESS
395,31.378,1400,SUCCESS
396,31.657,28,SUCCESS
397,32.817,1400,SUCCESS
398,32.231,28,SUCCESS
399,,0,LOST
400,32.201,28,SUCCESS
401,34.171,1400,SUCCESS
402,62.070,28,SUCCESS
403,31.836,1400,SUCCESS
404,,0,LOST
405,32.513,1400,SUCCESS
406,32.487,28,SUCCESS
407,,0,LOST
408,32.122,28,SUCCESS
409,33.314,1400,SUCCESS
410,32.371,28,SUCCESS
411,,0,LOST
412,,0,LOST
413,31.968,1400,SUCCESS
414,30.564,28,SUCCESS
415,,0,LOST
416,32.582,28,SUCCESS
417,32.559,1400,SUCCESS
418,31.189,28,SUCCESS
419,31.743,1400,SUCCESS
420,32.708,28,SUCCESS
421,33.820,1400,SUCCESS
422,33.125,28,SUCCESS
423,33.306,1400,SUCCESS
424,33.057,28,SUCCESS
425,33.170,1400,SUCCESS
426,32.841,28,SUCCESS
427,33.512,1400,SUCCESS
428,31.484,28,SUCCESS
429,31.903,1400,SUCCESS
430,33.218,28,SUCCESS
431,33.620,1400,SUCCESS
432,32.751,28,SUCCESS
433,31.581,1400,SUCCESS
434,,0,LOST
435,32.878,1400,SUCCESS
436,,0,LOST
437,31.949,1400,SUCCESS
438,32.072,28,SUCCESS
439,31.773,1400,SUCCESS
440,,0,LOST
441,43.765,1400,SUCCESS
442,31.288,28,SUCCESS
443,31.056,1400,SUCCESS
444,31.677,28,SUCCESS
445,,0,LOST
446,31.618,28,SUCCESS
447,32.059,1400,SUCCESS
448,31.299,28,SUCCESS
449,31.989,1400,SUCCESS
450,32.601,28,SUCCESS
451,33.615,1400,SUCCESS
452,32.163,28,SUCCESS
453,32.471,1400,SUCCESS
454,31.138,28,SUCCESS
455,32.623,1400,SUCCESS
456,,0,LOST
457,33.144,1400,SUCCESS
458,,0,LOST
459,31.708,1400,SUCCESS
460,31.827,28,SUCCESS
461,,0,LOST
462,30.960,28,SUCCESS
463,32.301,1400,SUCCESS
464,32.083,28,SUCCESS
465,52.826,1400,SUCCESS
466,,0,LOST
467,,0,LOST
468,31.227,28,SUCCESS
469,33.212,1400,SUCCESS
470,31.943,28,SUCCESS
471,31.833,1400,SUCCESS
472,32.512,28,SUCCESS
473,31.639,1400,SUCCESS
474,31.164,28,SUCCESS
475,31.969,1400,SUCCESS
476,31.978,28,SUCCESS
477,33.210,1400,SUCCESS
478,30.964,28,SUCCESS
479,32.676,1400,SUCCESS
480,31.908,28,SUCCESS
481,32.502,1400,SUCCESS
482,32.994,28,SUCCESS
483,33.289,1400,SUCCESS
484,30.961,28,SUCCESS
485,34.198,1400,SUCCESS
486,,0,LOST
487,,0,LOST
488,,0,LOST
489,33.862,1400,SUCCESS
490,31.699,28,SUCCESS
491,32.067,1400,SUCCESS
492,31.826,28,SUCCESS
493,31.718,1400,SUCCESS
494,31.445,28,SUCCESS
495,33.328,1400,SUCCESS
496,31.214,28,SUCCESS
497,33.519,1400,SUCCESS
498,31.886,28,SUCCESS
499,,0,LOST
500,31.126,28,SUCCESS
501,33.000,1400,SUCCESS
502,30.577,28,SUCCESS
503,62.460,1400,SUCCESS
504,31.468,28,SUCCESS
505,34.099,1400,SUCCESS
506,31.626,28,SUCCESS
507,62.548,1400,SUCCESS
508,31.486,28,SUCCESS
509,32.571,1400,SUCCESS
510,32.758,28,SUCCESS
511,33.195,1400,SUCCESS
512,32.385,28,SUCCESS
513,32.338,1400,SUCCESS
514,30.861,28,SUCCESS
515,33.169,1400,SUCCESS
516,31.092,28,SUCCESS
517,33.143,1400,SUCCESS
518,53.188,28,SUCCESS
519,32.127,1400,SUCCESS
520,,0,LOST
521,31.682,1400,SUCCESS
522,31.087,28,SUCCESS
523,,0,LOST
524,31.911,28,SUCCESS
525,35.887,1400,SUCCESS
526,32.752,28,SUCCESS
527,33.139,1400,SUCCESS
528,33.548,28,SUCCESS
529,32.064,1400,SUCCESS
530,,0,LOST
531,32.103,1400,SUCCESS
532,32.693,28,SUCCESS
533,,0,LOST
534,31.186,28,SUCCESS
535,33.691,1400,SUCCESS
536,41.705,28,SUCCESS
537,33.255,1400,SUCCESS
538,,0,LOST
539,31.892,1400,SUCCESS
540,31.202,28,SUCCESS
541,32.370,1400,SUCCESS
542,32.365,28,SUCCESS
543,32.158,1400,SUCCESS
544,32.434,28,SUCCESS
545,33.953,1400,SUCCESS
546,31.862,28,SUCCESS
547,33.692,1400,SUCCESS
548,34.513,28,SUCCESS
549,31.981,1400,SUCCESS
550,,0,LOST
551,30.822,1400,SUCCESS
552,31.302,28,SUCCESS
553,33.348,1400,SUCCESS
554,32.822,28,SUCCESS
555,32.612,1400,SUCCESS
556,32.836,28,SUCCESS
557,30.878,1400,SUCCESS
558,32.475,28,SUCCESS
559,33.195,1400,SUCCESS
560,31.346,28,SUCCESS
561,32.699,1400,SUCCESS
562,33.098,28,SUCCESS
563,32.336,1400,SUCCESS
564,33.445,28,SUCCESS
565,61.702,1400,SUCCESS
566,31.697,28,SUCCESS
567,,0,LOST
568,32.484,28,SUCCESS
569,34.610,1400,SUCCESS
570,46.087,28,SUCCESS
571,31.455,1400,SUCCESS
572,32.413,28,SUCCESS
573,32.448,1400,SUCCESS
574,31.977,28,SUCCESS
575,32.078,1400,SUCCESS
576,30.981,28,SUCCESS
577,31.391,1400,SUCCESS
578,31.152,28,SUCCESS
579,33.913,1400,SUCCESS
580,32.329,28,SUCCESS
581,31.707,1400,SUCCESS
582,31.005,28,SUCCESS
583,30.542,1400,SUCCESS
584,31.208,28,SUCCESS
585,33.523,1400,SUCCESS
586,31.420,28,SUCCESS
587,32.563,1400,SUCCESS
588,,0,LOST
589,32.281,1400,SUCCESS
590,32.595,28,SUCCESS
591,33.127,1400,SUCCESS
592,30.882,28,SUCCESS
593,32.263,1400,SUCCESS
594,32.456,28,SUCCESS
595,31.981,1400,SUCCESS
596,,0,LOST
597,33.387,1400,SUCCESS
598,31.935,28,SUCCESS
599,33.957,1400,SUCCESS
600,,0,LOST
601,33.545,1400,SUCCESS
602,32.074,28,SUCCESS
603,31.672,1400,SUCCESS
604,30.985,28,SUCCESS
605,31.058,1400,SUCCESS
606,32.747,28,SUCCESS
607,32.683,1400,SUCCESS
608,31.449,28,SUCCESS
609,31.745,1400,SUCCESS
610,32.936,28,SUCCESS
611,32.475,1400,SUCCESS
612,31.332,28,SUCCESS
613,32.866,1400,SUCCESS
614,29.973,28,SUCCESS
615,33.497,1400,SUCCESS
616,31.476,28,SUCCESS
617,31.443,1400,SUCCESS
618,31.999,28,SUCCESS
619,33.428,1400,SUCCESS
620,32.961,28,SUCCESS
621,33.383,1400,SUCCESS
622,32.532,28,SUCCESS
623,33.871,1400,SUCCESS
624,32.451,28,SUCCESS
625,31.698,1400,SUCCESS
626,29.467,28,SUCCESS
627,31.556,1400,SUCCESS
628,61.762,28,SUCCESS
629,32.755,1400,SUCCESS
630,32.587,28,SUCCESS
631,32.242,1400,SUCCESS
632,31.101,28,SUCCESS
633,33.552,1400,SUCCESS
634,62.303,28,SUCCESS
635,32.692,1400,SUCCESS
636,32.531,28,SUCCESS
637,30.318,1400,SUCCESS
638,33.410,28,SUCCESS
639,32.342,1400,SUCCESS
640,31.191,28,SUCCESS
641,33.819,1400,SUCCESS
642,32.234,28,SUCCESS
643,33.162,1400,SUCCESS
644,32.194,28,SUCCESS
645,31.895,1400,SUCCESS
646,31.217,28,SUCCESS
647,32.835,1400,SUCCESS
648,32.131,28,SUCCESS
649,30.403,1400,SUCCESS
650,32.000,28,SUCCESS
651,,0,LOST
652,30.634,28,SUCCESS
653,32.330,1400,SUCCESS
654,32.860,28,SUCCESS
655,33.026,1400,SUCCESS
656,32.244,28,SUCCESS
657,32.742,1400,SUCCESS
658,48.081,28,SUCCESS
659,32.244,1400,SUCCESS
660,32.408,28,SUCCESS
661,32.039,1400,SUCCESS
662,30.698,28,SUCCESS
663,33.639,1400,SUCCESS
664,32.361,28,SUCCESS
665,33.117,1400,SUCCESS
666,31.381,28,SUCCESS
667,32.811,1400,SUCCESS
668,53.803,28,SUCCESS
669,33.315,1400,SUCCESS
670,32.140,28,SUCCESS
671,30.244,1400,SUCCESS
672,31.022,28,SUCCESS
673,,0,LOST
674,31.755,28,SUCCESS
675,33.496,1400,SUCCESS
676,32.622,28,SUCCESS
677,32.360,1400,SUCCESS
678,30.880,28,SUCCESS
679,33.559,1400,SUCCESS
680,31.757,28,SUCCESS
681,32.746,1400,SUCCESS
682,32.285,28,SUCCESS
683,32.822,1400,SUCCESS
684,31.864,28,SUCCESS
685,32.161,1400,SUCCESS
