sequence_number,rtt_ms,bytes_received,status
315,,0,LOST
316,62.820,29,SUCCESS
317,63.387,1328,SUCCESS
318,,0,LOST
319,65.442,1328,SUCCESS
320,63.051,29,SUCCESS
321,62.712,1328,SUCCESS
322,95.106,29,SUCCESS
323,,0,LOST
324,64.848,29,SUCCESS
325,79.274,1328,SUCCESS
326,63.335,29,SUCCESS
327,,0,LOST
328,65.066,29,SUCCESS
329,63.602,1328,SUCCESS
330,63.536,29,SUCCESS
331,85.360,1328,SUCCESS
332,66.629,29,SUCCESS
333,62.543,1328,SUCCESS
334,60.887,29,SUCCESS
335,65.058,1328,SUCCESS
336,,0,LOST
337,63.983,1328,SUCCESS
338,62.851,29,SUCCESS
339,90.896,1328,SUCCESS
340,59.668,29,SUCCESS
341,64.453,1328,SUCCESS
342,63.835,29,SUCCESS
343,62.310,1328,SUCCESS
344,62.630,29,SUCCESS
345,64.332,1328,SUCCESS
346,,0,LOST
347,64.883,1328,SUCCESS
348,60.647,29,SUCCESS
349,95.965,1328,SUCCESS
350,63.606,29,SUCCESS
351,64.354,1328,SUCCESS
352,92.982,29,SUCCESS
353,62.390,1328,SUCCESS
354,,0,LOST
355,,0,LOST
356,62.647,29,SUCCESS
357,64.275,1328,SUCCESS
358,62.856,29,SUCCESS
359,66.310,1328,SUCCESS
360,62.909,29,SUCCESS
361,64.165,1328,SUCCESS
362,62.504,29,SUCCESS
363,61.813,1328,SUCCESS
364,,0,LOST
365,64.997,1328,SUCCESS
366,64.150,29,SUCCESS
367,,0,LOST
368,81.355,29,SUCCESS
369,75.034,1328,SUCCESS
370,61.818,29,SUCCESS
371,84.157,1328,SUCCESS
372,,0,LOST
373,64.108,1328,SUCCESS
374,63.857,29,SUCCESS
375,67.404,1328,SUCCESS
376,62.753,29,SUCCESS
377,66.002,1328,SUCCESS
378,62.091,29,SUCCESS
379,65.494,1328,SUCCESS
380,94.672,29,SUCCESS
381,62.632,1328,SUCCESS
382,,0,LOST
383,65.610,1328,SUCCESS
384,61.429,29,SUCCESS
385,94.688,1328,SUCCESS
386,62.364,29,SUCCESS
387,,0,LOST
388,93.131,29,SUCCESS
389,85.042,1328,SUCCESS
390,,0,LOST
391,62.658,1328,SUCCESS
392,61.226,29,SUCCESS
393,,0,LOST
394,61.735,29,SUCCESS
395,63.135,1328,SUCCESS
396,63.402,29,SUCCESS
397,,0,LOST
398,61.565,29,SUCCESS
399,63.975,1328,SUCCESS
400,62.000,29,SUCCESS
401,86.841,1328,SUCCESS
402,62.257,29,SUCCESS
403,62.699,1328,SUCCESS
404,62.142,29,SUCCESS
405,65.756,1328,SUCCESS
406,62.090,29,SUCCESS
407,63.472,1328,SUCCESS
408,63.816,29,SUCCESS
409,63.638,1328,SUCCESS
410,,0,LOST
411,66.678,1328,SUCCESS
412,61.188,29,SUCCESS
413,78.598,1328,SUCCESS
414,78.352,29,SUCCESS
415,63.415,1328,SUCCESS
416,63.613,29,SUCCESS
