sequence_number,rtt_ms,bytes_received,status
268,0.085,29,SUCCESS
269,0.089,1328,SUCCESS
270,0.085,29,SUCCESS
271,0.111,1328,SUCCESS
272,0.090,29,SUCCESS
273,0.096,1328,SUCCESS
274,0.089,29,SUCCESS
275,0.093,1328,SUCCESS
276,0.093,29,SUCCESS
277,0.091,1328,SUCCESS
278,0.082,29,SUCCESS
279,0.089,1328,SUCCESS
280,0.098,29,SUCCESS
281,0.103,1328,SUCCESS
282,0.090,29,SUCCESS
283,0.092,1328,SUCCESS
284,0.087,29,SUCCESS
285,0.095,1328,SUCCESS
286,0.088,29,SUCCESS
287,0.101,1328,SUCCESS
288,0.087,29,SUCCESS
289,0.094,1328,SUCCESS
290,0.087,29,SUCCESS
291,0.093,1328,SUCCESS
292,0.092,29,SUCCESS
293,0.093,1328,SUCCESS
294,0.088,29,SUCCESS
295,0.094,1328,SUCCESS
296,0.091,29,SUCCESS
297,0.094,1328,SUCCESS
298,0.085,29,SUCCESS
299,0.089,1328,SUCCESS
300,0.085,29,SUCCESS
301,0.092,1328,SUCCESS
302,0.092,29,SUCCESS
303,0.093,1328,SUCCESS
304,0.087,29,SUCCESS
305,0.095,1328,SUCCESS
306,0.088,29,SUCCESS
307,0.095,1328,SUCCESS
308,0.089,29,SUCCESS
309,0.095,1328,SUCCESS
310,0.086,29,SUCCESS
311,0.093,1328,SUCCESS
312,0.103,29,SUCCESS
313,0.096,1328,SUCCESS
314,0.088,29,SUCCESS
315,0.092,1328,SUCCESS
316,0.088,29,SUCCESS
317,0.095,1328,SUCCESS
318,0.088,29,SUCCESS
319,0.093,1328,SUCCESS
320,0.085,29,SUCCESS
321,0.092,1328,SUCCESS
322,0.093,29,SUCCESS
323,0.094,1328,SUCCESS
324,0.090,29,SUCCESS
325,0.094,1328,SUCCESS
326,0.087,29,SUCCESS
327,0.099,1328,SUCCESS
328,0.091,29,SUCCESS
329,0.093,1328,SUCCESS
330,0.088,29,SUCCESS
331,0.093,1328,SUCCESS
332,0.086,29,SUCCESS
333,0.095,1328,SUCCESS
334,0.090,29,SUCCESS
335,0.093,1328,SUCCESS
336,0.088,29,SUCCESS
337,0.094,1328,SUCCESS
338,0.088,29,SUCCESS
339,0.096,1328,SUCCESS
340,0.086,29,SUCCESS
341,0.093,1328,SUCCESS
342,0.087,29,SUCCESS
343,0.095,1328,SUCCESS
344,0.090,29,SUCCESS
345,0.094,1328,SUCCESS
346,0.087,29,SUCCESS
347,0.093,1328,SUCCESS
348,0.088,29,SUCCESS
349,0.093,1328,SUCCESS
350,0.087,29,SUCCESS
351,0.106,1328,SUCCESS
352,0.084,29,SUCCESS
353,0.094,1328,SUCCESS
354,0.087,29,SUCCESS
355,0.092,1328,SUCCESS
356,0.087,29,SUCCESS
357,0.093,1328,SUCCESS
358,0.087,29,SUCCESS
359,0.093,1328,SUCCESS
360,0.086,29,SUCCESS
361,0.089,1328,SUCCESS
362,0.082,29,SUCCESS
363,0.101,1328,SUCCESS
364,0.088,29,SUCCESS
365,0.095,1328,SUCCESS
366,0.088,29,SUCCESS
367,0.093,1328,SUCCESS
368,0.088,29,SUCCESS
369,0.097,1328,SUCCESS
370,0.088,29,SUCCESS
371,0.093,1328,SUCCESS
372,0.086,29,SUCCESS
373,0.093,1328,SUCCESS
374,0.089,29,SUCCESS
375,0.092,1328,SUCCESS
376,0.092,29,SUCCESS
377,0.094,1328,SUCCESS
378,0.087,29,SUCCESS
379,0.096,1328,SUCCESS
380,0.084,29,SUCCESS
381,0.089,1328,SUCCESS
382,0.095,29,SUCCESS
383,0.091,1328,SUCCESS
384,0.096,29,SUCCESS
385,0.102,1328,SUCCESS
386,0.086,29,SUCCESS
387,0.093,1328,SUCCESS
388,0.088,29,SUCCESS
389,0.089,1328,SUCCESS
390,0.084,29,SUCCESS
391,0.090,1328,SUCCESS
392,0.102,29,SUCCESS
393,0.094,1328,SUCCESS
394,0.091,29,SUCCESS
395,0.093,1328,SUCCESS
396,0.087,29,SUCCESS
397,0.091,1328,SUCCESS
398,0.086,29,SUCCESS
399,0.095,1328,SUCCESS
400,0.089,29,SUCCESS
401,0.092,1328,SUCCESS
402,0.083,29,SUCCESS
403,0.088,1328,SUCCESS
404,0.110,29,SUCCESS
405,0.096,1328,SUCCESS
406,0.089,29,SUCCESS
407,0.092,1328,SUCCESS
408,0.092,29,SUCCESS
409,0.093,1328,SUCCESS
410,0.087,29,SUCCESS
411,0.090,1328,SUCCESS
412,0.084,29,SUCCESS
413,0.093,1328,SUCCESS
414,0.097,29,SUCCESS
415,0.094,1328,SUCCESS
416,0.088,29,SUCCESS
417,0.097,1328,SUCCESS
418,0.087,29,SUCCESS
419,0.097,1328,SUCCESS
420,0.086,29,SUCCESS
421,0.092,1328,SUCCESS
422,0.087,29,SUCCESS
423,0.091,1328,SUCCESS
424,0.090,29,SUCCESS
425,0.096,1328,SUCCESS
426,0.088,29,SUCCESS
427,0.092,1328,SUCCESS
428,0.085,29,SUCCESS
429,0.104,1328,SUCCESS
430,0.092,29,SUCCESS
431,0.090,1328,SUCCESS
432,0.087,29,SUCCESS
433,0.094,1328,SUCCESS
434,0.088,29,SUCCESS
435,0.095,1328,SUCCESS
436,0.085,29,SUCCESS
437,0.088,1328,SUCCESS
438,0.093,29,SUCCESS
439,0.089,1328,SUCCESS
440,0.086,29,SUCCESS
441,0.091,1328,SUCCESS
442,0.084,29,SUCCESS
443,0.089,1328,SUCCESS
444,0.099,29,SUCCESS
445,0.103,1328,SUCCESS
446,0.087,29,SUCCESS
447,0.095,1328,SUCCESS
448,0.088,29,SUCCESS
449,0.092,1328,SUCCESS
450,0.085,29,SUCCESS
451,0.089,1328,SUCCESS
452,0.086,29,SUCCESS
453,0.093,1328,SUCCESS
454,0.087,29,SUCCESS
455,0.093,1328,SUCCESS
456,0.092,29,SUCCESS
457,0.093,1328,SUCCESS
458,0.089,29,SUCCESS
459,0.092,1328,SUCCESS
460,0.086,29,SUCCESS
461,0.095,1328,SUCCESS
462,0.087,29,SUCCESS
463,0.091,1328,SUCCESS
464,0.087,29,SUCCESS
465,0.095,1328,SUCCESS
466,0.084,29,SUCCESS
467,0.085,1328,SUCCESS
468,0.089,29,SUCCESS
469,0.095,1328,SUCCESS
470,0.087,29,SUCCESS
471,0.092,1328,SUCCESS
472,0.087,29,SUCCESS
473,0.089,1328,SUCCESS
474,0.085,29,SUCCESS
475,0.090,1328,SUCCESS
476,0.102,29,SUCCESS
477,0.095,1328,SUCCESS
478,0.087,29,SUCCESS
479,0.091,1328,SUCCESS
480,0.090,29,SUCCESS
481,0.103,1328,SUCCESS
482,0.088,29,SUCCESS
483,0.093,1328,SUCCESS
484,0.085,29,SUCCESS
485,0.092,1328,SUCCESS
486,0.087,29,SUCCESS
487,0.095,1328,SUCCESS
488,0.090,29,SUCCESS
489,0.093,1328,SUCCESS
490,0.086,29,SUCCESS
491,0.092,1328,SUCCESS
492,0.086,29,SUCCESS
493,0.094,1328,SUCCESS
494,0.087,29,SUCCESS
495,0.089,1328,SUCCESS
496,0.083,29,SUCCESS
497,0.097,1328,SUCCESS
498,0.084,29,SUCCESS
499,0.088,1328,SUCCESS
500,0.086,29,SUCCESS
501,0.094,1328,SUCCESS
502,0.088,29,SUCCESS
503,0.097,1328,SUCCESS
504,0.086,29,SUCCESS
505,0.088,1328,SUCCESS
506,0.084,29,SUCCESS
507,0.109,1328,SUCCESS
508,0.090,29,SUCCESS
509,0.094,1328,SUCCESS
510,0.090,29,SUCCESS
511,0.093,1328,SUCCESS
512,0.092,29,SUCCESS
513,0.107,1328,SUCCESS
514,0.083,29,SUCCESS
515,0.090,1328,SUCCESS
516,0.087,29,SUCCESS
517,0.102,1328,SUCCESS
518,0.088,29,SUCCESS
519,0.093,1328,SUCCESS
520,0.090,29,SUCCESS
521,0.093,1328,SUCCESS
522,0.088,29,SUCCESS
523,0.092,1328,SUCCESS
524,0.083,29,SUCCESS
525,0.089,1328,SUCCESS
526,0.093,29,SUCCESS
527,0.090,1328,SUCCESS
528,0.089,29,SUCCESS
529,0.095,1328,SUCCESS
530,0.087,29,SUCCESS
531,0.092,1328,SUCCESS
532,0.086,29,SUCCESS
533,0.095,1328,SUCCESS
534,0.089,29,SUCCESS
535,0.092,1328,SUCCESS
536,0.091,29,SUCCESS
537,0.094,1328,SUCCESS
538,0.089,29,SUCCESS
539,0.092,1328,SUCCESS
540,0.087,29,SUCCESS
541,0.093,1328,SUCCESS
542,0.086,29,SUCCESS
543,0.102,1328,SUCCESS
544,0.084,29,SUCCESS
545,0.092,1328,SUCCESS
546,0.087,29,SUCCESS
547,0.091,1328,SUCCESS
548,0.095,29,SUCCESS
549,0.092,1328,SUCCESS
550,0.088,29,SUCCESS
551,0.095,1328,SUCCESS
552,0.089,29,SUCCESS
553,0.093,1328,SUCCESS
554,0.086,29,SUCCESS
555,0.092,1328,SUCCESS
556,0.083,29,SUCCESS
557,0.083,1328,SUCCESS
558,0.091,29,SUCCESS
559,0.091,1328,SUCCESS
560,0.087,29,SUCCESS
561,0.094,1328,SUCCESS
562,0.090,29,SUCCESS
563,0.090,1328,SUCCESS
564,0.084,29,SUCCESS
565,0.100,1328,SUCCESS
566,0.087,29,SUCCESS
567,0.093,1328,SUCCESS
568,0.090,29,SUCCESS
569,0.094,1328,SUCCESS
570,0.086,29,SUCCESS
571,0.093,1328,SUCCESS
572,0.087,29,SUCCESS
573,0.093,1328,SUCCESS
574,0.087,29,SUCCESS
575,0.092,1328,SUCCESS
576,0.087,29,SUCCESS
577,0.095,1328,SUCCESS
578,0.087,29,SUCCESS
579,0.100,1328,SUCCESS
580,0.089,29,SUCCESS
581,0.092,1328,SUCCESS
582,0.086,29,SUCCESS
583,0.092,1328,SUCCESS
584,0.095,29,SUCCESS
585,0.089,1328,SUCCESS
586,0.084,29,SUCCESS
587,0.092,1328,SUCCESS
588,0.083,29,SUCCESS
